date,n,k,d,c,ccw,lambda,error_combined,dominance_case,color,weather_weight,atmospheric_weight
2024-05-20,2,4,3,0.0,0.0,0.5,0.20625,weather_dominates,blue,1.0,0.0
2024-05-20,2,4,3,0.1,0.1,0.5,0.209688,weather_dominates,blue,0.9,0.1
2024-05-20,2,4,3,0.2,0.2,0.5,0.213125,weather_dominates,blue,0.8,0.2
2024-05-20,2,4,3,0.3,0.3,0.5,0.216563,hybrid,purple,0.7,0.3
2024-05-20,2,4,3,0.4,0.4,0.5,0.22,hybrid,purple,0.6,0.4
2024-05-20,2,4,3,0.5,0.5,0.5,0.223438,hybrid,purple,0.5,0.5
2024-05-20,2,4,3,0.6,0.6,0.5,0.226875,hybrid,purple,0.4,0.6
2024-05-20,2,4,3,0.7,0.7,0.5,0.230313,hybrid,purple,0.3,0.7
2024-05-20,2,4,3,0.8,0.8,0.5,0.23375,atmospheric_dominates,orange,0.2,0.8
2024-05-20,2,4,3,0.9,0.9,0.5,0.237188,atmospheric_dominates,orange,0.1,0.9
2024-05-20,2,4,3,1.0,1.0,0.5,0.240625,atmospheric_dominates,orange,0.0,1.0
2024-05-20,2,4,4,0.0,0.0,0.5,0.215625,weather_dominates,blue,1.0,0.0
2024-05-20,2,4,4,0.1,0.1,0.5,0.219219,weather_dominates,blue,0.9,0.1
2024-05-20,2,4,4,0.2,0.2,0.5,0.222813,weather_dominates,blue,0.8,0.2
2024-05-20,2,4,4,0.3,0.3,0.5,0.226406,hybrid,purple,0.7,0.3
2024-05-20,2,4,4,0.4,0.4,0.5,0.23,hybrid,purple,0.6,0.4
2024-05-20,2,4,4,0.5,0.5,0.5,0.233594,hybrid,purple,0.5,0.5
2024-05-20,2,4,4,0.6,0.6,0.5,0.237187,hybrid,purple,0.4,0.6
2024-05-20,2,4,4,0.7,0.7,0.5,0.240781,hybrid,purple,0.3,0.7
2024-05-20,2,4,4,0.8,0.8,0.5,0.244375,atmospheric_dominates,orange,0.2,0.8
2024-05-20,2,4,4,0.9,0.9,0.5,0.247969,atmospheric_dominates,orange,0.1,0.9
2024-05-20,2,4,4,1.0,1.0,0.5,0.251562,atmospheric_dominates,orange,0.0,1.0
2024-05-20,2,4,5,0.0,0.0,0.5,0.225,weather_dominates,blue,1.0,0.0
